gene_ref	gene_id	gene_name	condition_1	condition_2	gene_switch_q_value	switchConsequencesGene	Rank
geneComp_00019276	gene-TM6SF1	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.003862655545133803	TRUE	59
geneComp_00053301	gene-LOC123001300	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.00420542086137795	TRUE	60
geneComp_00081255	gene-SHOC2	NA	Muscle_PDExp_Fed	Muscle_PDExp_NotFed	0.004222733494631885	TRUE	61
geneComp_00005868	gene-HP1BP3	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.0043085314509138896	TRUE	62
geneComp_00080382	gene-RHOT1	NA	Muscle_PDExp_Fed	Muscle_PDExp_NotFed	0.00447098571193548	TRUE	63
geneComp_00004156	gene-EPHX1	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.00487577388194467	TRUE	64
geneComp_00056395	gene-MTUS1	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.005079858466482781	TRUE	65
geneComp_00022442	gene-BAP1	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hyp	0.0054079559216880175	TRUE	66
geneComp_00079122	gene-PKN1	NA	Muscle_PDExp_Fed	Muscle_PDExp_NotFed	0.005459520122964196	TRUE	67
geneComp_00062286	gene-TSC2	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.005799471674604024	TRUE	68
geneComp_00057798	gene-PHYHD1	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.005847759174195433	TRUE	69
geneComp_00006335	gene-ITGA7	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.005955049128301237	TRUE	70
geneComp_00041081	gene-TSC2	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hyp	0.006141509313036738	TRUE	71
geneComp_00015131	gene-PCM1	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.006145622350465219	TRUE	72
geneComp_00084490	gene-ZMYND11	NA	Muscle_PDExp_Fed	Muscle_PDExp_NotFed	0.006176179879255652	TRUE	73
geneComp_00084354	gene-ZC3H11A	NA	Muscle_PDExp_Fed	Muscle_PDExp_NotFed	0.00634512187230755	TRUE	74
geneComp_00006454	gene-KBTBD12	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.006558161487049636	TRUE	75
geneComp_00105701	gene-ZNF106	NA	Muscle_PDExp_Hib	Muscle_PDExp_Fed	0.006798298335080716	TRUE	76
geneComp_00004735	gene-FKBP5	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.007101820178317505	TRUE	77
geneComp_00005957	gene-HSPH1	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.007135297739200086	TRUE	78
geneComp_00024648	gene-DGUOK	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hyp	0.007380559898788742	TRUE	79
geneComp_00025447	gene-ESYT2	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hyp	0.007380559898788742	TRUE	80
geneComp_00077295	gene-MMADHC	NA	Muscle_PDExp_Fed	Muscle_PDExp_NotFed	0.007460625733171829	TRUE	81
geneComp_00016895	gene-RNF214	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.008272179988714545	TRUE	82
geneComp_00063271	gene-ZMAT2	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.00829567874818108	TRUE	83
geneComp_00067265	gene-DNTTIP1	NA	Muscle_PDExp_Fed	Muscle_PDExp_NotFed	0.008324714172871629	TRUE	84
geneComp_00081883	gene-SOCS6	NA	Muscle_PDExp_Fed	Muscle_PDExp_NotFed	0.009572039310600286	TRUE	85
