gene_ref	gene_id	gene_name	condition_1	condition_2	gene_switch_q_value	switchConsequencesGene	Rank
geneComp_00087960	gene-ITSN1	NA	Liver_PDExp_Fed	Liver_PDExp_NotFed	0.03213414088155153	TRUE	130
geneComp_00033694	gene-MLXIPL	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hyp	0.032192375665229075	TRUE	131
geneComp_00005246	gene-GRAMD2B	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hib	0.03421766706413635	TRUE	132
geneComp_00001117	gene-AUH	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hib	0.034778185079395646	TRUE	133
geneComp_00088465	gene-LDLRAP1	NA	Liver_PDExp_Fed	Liver_PDExp_NotFed	0.03586419988137435	TRUE	134
geneComp_00018911	gene-TNPO3	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hib	0.0359776059288361	TRUE	135
geneComp_00017324	gene-SLC41A3	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hib	0.0368394783202931	TRUE	136
geneComp_00014029	gene-NOCT	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hib	0.037299357900944484	TRUE	137
geneComp_00044748	gene-EIF3L	NA	Liver_Jansen2019_Hib	Liver_Jansen2019_Hyp	0.03752879500163697	TRUE	138
geneComp_00098892	gene-SIRT2	NA	Liver_PDExp_Fed	Liver_PDExp_NotFed	0.03822318563417123	TRUE	139
geneComp_00039077	gene-TMEM106B	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hyp	0.03837715919569747	TRUE	140
geneComp_00057811	gene-SETD3	NA	Liver_Jansen2019_Hib	Liver_Jansen2019_Hyp	0.03892950799556011	TRUE	141
geneComp_00063332	gene-CDC14B	NA	Liver_PDExp_Fed	Liver_PDExp_Hib	0.038971494632294545	TRUE	142
geneComp_00077646	gene-RNF14	NA	Liver_PDExp_Fed	Liver_PDExp_Hib	0.038971494632294545	TRUE	143
geneComp_00059855	gene-TOP3B	NA	Liver_Jansen2019_Hib	Liver_Jansen2019_Hyp	0.041865391413511845	TRUE	144
geneComp_00020208	gene-ZNF326	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hib	0.042366748531053516	TRUE	145
geneComp_00075729	gene-ORC5	NA	Liver_PDExp_Fed	Liver_PDExp_Hib	0.0441019818804988	TRUE	146
geneComp_00046486	gene-HMGN4	NA	Liver_Jansen2019_Hib	Liver_Jansen2019_Hyp	0.044167409049978554	TRUE	147
geneComp_00054442	gene-MTSS1	NA	Liver_Jansen2019_Hib	Liver_Jansen2019_Hyp	0.044167409049978554	TRUE	148
geneComp_00056580	gene-PTPN2	NA	Liver_Jansen2019_Hib	Liver_Jansen2019_Hyp	0.044167409049978554	TRUE	149
geneComp_00000206	gene-ACYP2	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hib	0.04527160307279555	TRUE	150
geneComp_00046796	gene-IL15	NA	Liver_Jansen2019_Hib	Liver_Jansen2019_Hyp	0.04725015090909662	TRUE	151
